,source_id,date,category,title,author,text
10,,"
Published 11:45 PM, February 23, 2020                                    ",nCov,Filipino coronavirus case in Singapore didn't travel to China,Paterno Esmaquel II,"
TIGHT SCREENING. Health officers screen arriving passengers at Singapore Changi Airport on January 22, 2020, as authorities increase measures against the novel coronavirus. File photo by Roslan Rahman/AFP 
SINGAPORE (UPDATED) – The Singaporean government is investigating the close contacts of the first Filipino case of the novel coronavirus here, as the patient, whose identity Singapore has not disclosed, did not recently travel to China.
Philippine Ambassador to Singapore Joseph Yap confirmed these details to Rappler late Sunday evening, February 23, as he said the Philippine embassy is ready to help the Filipino coronavirus patient.
""The patient has no recent travel history to China, and they are still investigating his close contacts to find out more about where he could have gotten the virus from,"" Yap told Rappler.
Yap said it is possible that the patient's close contacts are also Filipinos, ""but it's hard to speculate."" He noted that Singapore's protocol for all coronavirus patients here is to trace their close contacts and to test them for the virus, if necessary.
The Filipino ""is now in isolation"" at Singapore's National Centre for Infectious Diseases, said Foreign Affairs Undersecretary Brigido Dulay earlier on Sunday.
It was also on Sunday evening when Singapore's Ministry of Health (MOH) advised the Philippine embassy about the Filipino patient, Yap said.
The most that the MOH disclosed was that the Filipino is a male permanent resident of Singapore, according to Yap. The patient needs to give his consent to the Singaporean government before his identity can be disclosed to the Philippine embassy.
""We do not know the identity because the MOH has not shared it with us for privacy reasons,"" the ambassador said.
Yap said that based on the Singaporean government's protocol, Singapore will shoulder the hospital bills of the Filipino patient and all other novel coronavirus cases. (READ: Singapore announces $4.6-billion boost to fight virus)
But the Philippine embassy can help by contacting his relatives or flying them into Singapore, if needed, using the Philippine government's fund to assist overseas Filipinos.
""We stand ready to render all the assistance that he would need,"" Yap said.
'No reason to panic'
Singapore has at least 89 confirmed cases of the novel coronavirus, according to data from the Singaporean government as of Sunday evening. Of these cases, 65 contracted the virus in Singapore while 24 got it outside the country.
The Singaporean government said 49 patients have been discharged, 35 remain stable, and 5 others remain in critical condition. No one has died due to the virus in Singapore.
Singapore now has the 3rd highest number of novel coronavirus patients outside China. The country used to have the biggest number of patients outside China, but South Korea now has at least 602 confirmed cases. Japan has 132.
These figures exclude the 634 patients from the cruise ship Diamond Princess, docked in Japan.
Sought for words of reassurance for Filipinos in Singapore, Yap said: ""My advice is still the same: We should remain calm. Yes, there is one case, but we should continue to remain calm and continue to exercise vigilance. We really should continue to follow the advisories from the Ministry of Health.""
He added that ""the Singapore government has actually been doing a good job in terms of implementing their protocols."" He pointed out, for instance, that the number of novel coronavirus cases has been going down while the number of discharged patients has been going up.
""The trend is positive, and I personally feel that the situation now is more stable than it was maybe one or two weeks ago. I think we should just continue to be careful, to be cautious, but there's no reason to be panicking,"" Yap said. – Rappler.com "
11,,"
Published 9:20 PM, February 23, 2020                                    ",nCov,DFA advises Filipinos to 'delay non-essential travel' to South Korea,Rappler.com,"
TOURIST DESTINATION. People in traditional Korean hanbok dresses wear face masks as they visit Gyeongbokgung Palace in Seoul, South Korea, on February 23, 2020. Photo by Jung Yeon-je/AFP 
MANILA, Philippines – The Department of Foreign Affairs (DFA) advised Filipinos to ""delay non-essential travel"" to South Korea, as the East Asian country raised its alert level for the novel coronavirus to the highest on Sunday, February 23.
There is currently no ban on Filipinos traveling to South Korea, but the DFA said ""travelers are cautioned to delay non-essential travel to the country as a precaution.""
South Korea reported 169 new infections and 3 more deaths on Sunday, bringing the total number of infections to 602 and the total number of deaths to 5.
South Korea now has the most infections outside of China, aside from the Diamond Princess cruise ship docked in Japan. More than 600 passengers and crew of the cruise ship have tested positive.
The DFA said the Philippine embassy in Seoul is closely monitoring the situation and coordinating with the Filipino community.
""The embassy has not received information that there are Filipinos in South Korea infected by COVID-19,"" said the DFA, referring to the disease caused by the virus.
""Filipinos in South Korea experiencing symptoms of COVID-19 should immediately contact the Korea Centers for Disease Control and Prevention at 1339.""
For emergencies, the DFA said Filipinos in South Korea may also call the Philippine embassy at (+82) 10-9263-8119.
As of Sunday, at least 55 Filipinos have contracted the virus, all based outside the Philippines. Two are in the United Arab Emirates, one in Hong Kong, one in Singapore, and 51 from the Diamond Princess. (READ: Filipino coronavirus case in Singapore didn't travel to China)
In the Philippines, there have been 3 confirmed cases, all Chinese. One of them died, while the other two recovered.
So far, the virus has killed 2,442 and infected 76,936 people in China. Cases have been recorded in more than two dozen countries. – with a report from Agence France-Presse/Rappler.com "
12,,"
Published 7:25 PM, February 23, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 23, 2020",Rappler.com,"
CORONAVIRUS SCARE. People line up to buy face masks in Manila. File photo by Ben Nabong/Rappler 
MANILA, Philippines – The Department of Health (DOH) continues to place patients under investigation for possible cases of the novel coronavirus (2019-nCoV).
As of Sunday, February 23, the DOH said it has probed 608 patients. There is still no recorded case of local transmission in the country.
Out of this number:

131 - admitted to hospitals
474 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the disease caused by the new virus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of patients under investigation per region. All numbers are from the DOH's nCoV tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
11


Cagayan Valley 
36


Cordillera Administrative Region
28


Central Luzon
60


Metro Manila
204


Calabarzon
79


Mimaropa
17


Bicol
10


Western Visayas
38


Central Visayas
61


Eastern Visayas
18


Northern Mindanao
17


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 55 Filipinos confirmed to have the virus, but all are based outside the Philippines, including two in the United Arab Emirates, one in Hong Kong, one in Singapore, and 51 who were aboard a cruise ship quarantined in Japan.
The World Health Organization earlier declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed 2,442 and infected 76,936 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
13,,"
Published 7:20 PM, February 23, 2020                                    ",nCov,Filipino in Singapore tests positive for coronavirus,Rappler.com,"
VIRUS SCARE. Visitors, wearing protective face masks, walk along the Jubilee Bridge in Singapore on February 17, 2020. Photo by Roslan Rahman/AFP 
MANILA, Philippines – A Filipino in Singapore tested positive for COVID-19, the disease caused by the novel coronavirus, said the Department of Foreign Affairs (DFA) on Sunday, February 23.
The Philippine embassy in Singapore reported the case, according to DFA Undersecretary Brigido Dulay in a post on Twitter.
This is the first confirmed case of a Filipino getting COVID-19 in Singapore, he noted.
The patient ""is now in isolation"" at Singapore's National Centre for Infectious Diseases, added Dulay.
The embassy there ""is in close contact"" with Singapore health officials ""to monitor the condition and well-being of our kababayan (fellow Filipino),"" Dulay continued.
So far, at least 55 Filipinos have contracted the virus, including this case in Singapore. Two cases are in the United Arab Emirates, one in Hong Kong, and 51 from the Diamond Princess cruise ship which was quarantined in Japan.
In the Philippines, health officials have probed 608 patients for possible infection as of Sunday. Of this number, 3 cases of COVID-19 have been confirmed, with one death and two recoveries.
There is still no recorded case of local transmission in the Philippines. – Rappler.com "
14,,"
Published 12:20 PM, February 23, 2020                                    ",nCov,PH gov’t urged to brace for tourism dip due to virus outbreak,Rambo Talabong,"
FAMED BEACH. Tourists trek White Beach in Boracay Island. File photo by Angie de Silva/Rappler 
MANILA, Philippines – House Deputy Speaker Johnny Pimentel urged the government to brace for a drop in tourism resulting to loss of thousands of jobs due to the 2019 novel coronavirus (2019-nCoV) that broke out in China, a major market in the Philippine hospitality industry.
“We have to put together a plan to help these displaced workers transition to other jobs,” Pimentel said in a statement on Sunday, February 23.
Pimentel projected the Philippine stands to lose up to 1.2 million Chinese visitors in 2020, primarily because of the travel ban on mainland China. Even if the virus is suppressed and the travel ban lifted, he said “the damage has already been done” and that a rebound would take longer than the country would wish.
Pimentel urged the Department of Tourism (DOT) and the Department of Labor and Employment (DOLE) to draw up an emergency skills retooling and jobs plan for thousands of workers facing layoffs.
The House leader also reminded the Social Security System to give out P20,000 in unemployment insurance to workers who would be involuntarilty separated.
In 2019, a total of 1,743,309 vacationers from China arrived in the Philippines, according to the DOT.
Aside from China, the Philippines welcomed the most visitors from South Korea (1,989,322 visitors), United States (1,064,440 visitors), Japan (682,788 visitors), and Taiwan (327,273). In these countries, the DOT expects a dip in visits of at least 10%.
China has been the Philippines’ fastest-growing source of foreign visitors since 2016, amid President Rodrigo Duterte’s warming ties with China. – Rappler.com "
15,,"
Published 9:44 PM, February 22, 2020                                    ",nCov,Virus ship crew's families fear for kin as PH evacuation postponed,Agence France-Presse,"
ANXIOUS. Relatives of Filipino crew members stranded on board the coronavirus-stricken Diamond Princess cruise ship, moored off Japan's coast, walk outside a building after meeting with a local employment agency for seafarers in Manila on February 22, 2020. Photo by Basilio H. Sepe/AFP 
MANILA, Philippines – Families of hundreds of Filipino crew members still stuck on board the coronavirus-stricken Diamond Princess cruise ship are increasingly worried for their relatives' health, as the Philippines postponed on Saturday, February 22, a scheduled trip to bring them home.
The vessel, moored off the Japanese coast in Yokohama near Tokyo, has the biggest cluster of coronavirus infections outside the Chinese epicenter, with over 600 cases confirmed among the 3,700 passengers and crew.
While hundreds of travelers have disembarked more than 1,000 crew remain – including over 400 Filipinos whose return on Sunday, February 23, has been delayed until Japan clears them to travel, the Philippines said Saturday.
""[The task force] is adjusting the schedule out of an abundance of caution with a view of safeguarding the health and safety of our OFWs (overseas Filipinos) onboard,"" the health department said in a statement.
Adding to the families' worry, a Philippine foreign ministry official said Saturday 49 Filipinos on board have tested positive for the virus, two of whom were successfully treated and discharged from the hospital.
(READ: Quarantine nightmare still not over for left-behind cruise ship crew)
Norma Fajardo, whose daughter is part of the Diamond Princess security team, said the crew have been well treated and cared for, but she is worried her work makes her particularly vulnerable to the virus.
""We couldn't do anything because she works in security so she has to monitor passengers,"" Fajardo told AFP.
""We're worried. She could get infected anytime,"" she added.
Fajardo said crew who get sick are allowed to rest, but those without symptoms were encouraged to continue working.
Esther Rivera – whose son is a ship photographer – has urged the Philippine government to bring them home.
""I hope they get pulled out from the ship because they are infecting each other there,"" Rivera said.
Once flown home, the repatriated Filipinos will be quarantined for two weeks in a northern Philippine facility previously used to house athletes in the 2019 Southeast Asian Games.
Japan has faced mounting criticism for its quarantine arrangements as passengers disperse across the world.
The cruise ship was quarantined on February 5 – after a passenger who disembarked in Hong Kong tested positive for the virus – but many crew were not isolated because they were needed to keep the vessel running.
Some were preparing food and delivering meals to cabins, leading some critics to charge they were inadvertently spreading the virus throughout the boat.
Princess Cruises President Jan Swartz has written a letter to the crew, saying the firm was ""deeply grateful and incredibly proud of all of you.""
Around 10 million Filipinos work abroad and the money they send home spurs the local economy where many still live in deep poverty despite the country's robust growth.
The government has for decades hailed overseas workers as modern heroes, but advocacy groups have highlighted these Filipinos vulnerability in troubled countries, or during epidemics. – Rappler.com
  "
16,,"
Published 7:01 PM, February 22, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 22, 2020",Rappler.com,"
READY. Nurses from the Ospital ng Parañaque show some equipment they prepared, including a quarantine tent, as precautionary measures in case a suspected novel coronavirus case is brought to their hospital. Photo by Ben Nabong/Rappler 
MANILA, Philippines – The Department of Health (DOH) continues to place patients under investigation for possible cases of the novel coronavirus (2019-nCoV).
As of Saturday, February 22, DOH said it has probed 606 patients. There is still no recorded case of local transmission in the country.
Out of this number:

130 - admitted to hospitals
473- discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the name of the disease caused by the new virus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of patients under investigation per region. All numbers are from the DOH's nCoV tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
11


Cagayan Valley 
36


Cordillera Administrative Region
28


Central Luzon
60


Metro Manila
204


Calabarzon
79


Mimaropa
15


Bicol
10


Western Visayas
38


Central Visayas
61


Eastern Visayas
18


Northern Mindanao
17


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 53 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates, one in Hong Kong, and 51 who were aboard a cruise ship quarantined in Japan.  
The World Health Organization has already declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 2,345 and infected over 76,600 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
17,,"
Published 5:40 PM, February 22, 2020                                    ",nCov,"49 quarantined in New Clark City cleared of COVID-19, sent home",Lian Buan,"
COVID-19. PNP Chief Archie Gamboa on February 3, 2020, presents to media at Camp Crame its chemical, biological, radiological, nuclear and explosives (CBRNE)-trained personnel to assist in the government's action in repatriating Filipinos from countries which are affected by the 2019 novel coronavirus. Photo by Daren Langit/Rappler 
MANILA, Philippines – The 49 people who were quarantined at the New Clark City in Capas, Tarlac, were sent home on Saturday, February 22, after 14 days of isolation for the novel coronavirus or COVID-19.
""We are glad that all our repatriates from China are well and did not exhibit any signs of the COVID-19. Through everyone’s cooperation, we have zero infections and zero mortalities,"" said Health Secretary Francisco Duque III during the send-of ceremony on Saturday.
Duque said a baby boy was also delivered during the quarantine and that he was ""healthy and strong.""
The 49 people are composed of 30 overseas Filipino workers (OFW) from Wuhan, China; 5 Department of Health (DOH) medical team members; 5 Department of Foreign Affairs (DFA) response team members; 6 plane crew and 3 ground personnel.
The 49 people were given quarantine certification completion from the DOH.
The DOH said they were also given financial assistance by the DFA, Overseas Workers Welfare Administration (OWWA), and Department of Social Welfare and Development (DSWD).
Diamond Princess
Around 460 to 480 Filipinos quarantined for days inside the Japanese cruise ship M/V Diamond Princess will return to the Philippines on Sunday, February 23.
The 44 Filipino passengers and crew members of Diamond Princess who have tested positive for COVID-19 remained in Japan, the DOH earlier announced.
One case has already recovered from the disease and is the first Filipino to do so.
DOH Assistant Secretary Maria Rosario Vergeire said the 43 Filipinos who are still COVID-19-positive will not be allowed to go back to the Philippines.
The DOH has so far monitored  597 people for COVID-19, with 455 of them already discharged.
There were 3 confirmed cases of COVID-19 in the country. One of them died, but the other two recovered and have since been discharged from the hospital. – Rappler.com "
18,,"
Published 3:12 PM, February 22, 2020                                    ",nCov,DOH: Repatriation of Filipinos on cruise ship moved to 'early next week’,Rappler.com,"
COUPLE. Passengers look out from their balconies on the Diamond Princess cruise ship, with around 3,600 people quarantined onboard due to fears of the new COVID-19 coronavirus, at the Daikoku Pier Cruise Terminal in Yokohama on February 14, 2020. Photo by Charly Triballeau/AFP 
MANILA, Philippines – The repatriation of Filipinos on a cruise ship in Japan has been tentatively moved to ""early next week"" instead of Sunday, February 23, the Department of Health (DOH) announced.
The DOH said in a statement on Saturday, February 22, that the Inter-Agency Task Force on Emerging Infectious Disease (IATF-EID) ""unanimously resolved"" to move the homecoming date of over 400 Filipinos aboard the Diamond Princess cruise ship.
“This is to allow the Japanese health authorities to complete the laboratory testing of the 400-plus Filipino crew members aboard the ship and comply with established Japanese quarantine protocols,” the DOH said.
It added that the task force adjusted the schedule ""out of an abundance of caution with a view to safeguarding the health and safety of our overseas Filipinos onboard the Diamond Princess cruise ship.""
“The Japanese government has ensured that appropriate health services are being provided to affected overseas Filipinos aboard the ship. Our Tokyo Embassy is working closely with the Japanese health and foreign ministry to complete the quarantine protocols for the Philippine Government to repatriate our Filipino crew members as soon as possible,” the DOH said. 
The decision was made a day after two Australians evacuated from the cruise ship  tested positive for coronavirus on their return home, despite being cleared in Japan.
Foreign Secretary Teodoro Locsin Jr earlier ordered the immediate repatriation of the Filipinos aboard the ship on Wednesday, February 19. This was just hours hours after ship passengers who tested negative for COVID-19 – the name of the disease caused by the novel coronavirus (2019-nCoV) – following a 14-day quarantine were allowed to disembark.
About 460 to 480 Filipinos were aboard the ship, both passengers and crew members.
 
Health Secretary Francisco Duque III said in an earlier press conference that the repatriation was originally set for Tuesday, February 25, but the DFA moved it to Sunday, February 23, after the Japanese government announced they would close down the cruise ship.
Earlier reports said the 52 Filipinos infected with 2019-nCoV would not be included in the repatriation.
As of Friday, February 21, a total of 634 confirmed cases of COVID-19 was recorded on the Diamond Cruise ship, according to the World Health Organization (WHO). Two former passengers died.
Meanwhile, the DOH gave a clean bill of health to 30 Filipino repatriates from Wuhan, China, after a 14-day quarantine at the New Clark City in Tarlac.
 
The DOH said the 10-member Health Emergency Response Team (HERT) from the Department of Foreign Affairs (DFA) and the DOH, 6 flight crew members, and 3 ground crew operators involved in the Wuhan mission were also declared healthy and showed no signs and symptoms of COVID-19, the name of the disease from infection with nCoV-2019.
The 49 Filipinos were set to leave New Clark City on Saturday.
The Philippines has so far recorded 3 confirmed cases as of Friday noon, with one death and two recoveries. A total of 597 possible cases are currently under investigation. So far, there were no cases of local transmission. – Pauline Macaraeg/Rappler.com "
19,,"
Published 7:19 PM, February 21, 2020                                    ",nCov,52 Filipinos on Japan cruise ship infected with coronavirus will not be repatriated yet,Mara Cepeda,"
STILL IN JAPAN. File photo of a bus departing from the dockside next to the Diamond Princess cruise ship at the Daikoku Pier Cruise Terminal in Yokohama port on February 14, 2020. Photo by Charly Triballeau/AFP 
MANILA, Philippines – The scores of Filipino passengers and crew members of Japanese cruise ship Diamond Princess who were infected by the novel coronavirus (2019-nCoV) will not be among those to be repatriated to the Philippines on Sunday, February 23.
Department of Health (DOH) Assistant Secretary Maria Rosario Vergeire said they received a report as of Friday morning, February 21, that 52 Filipinos aboard the ship have already tested positive with 2019-nCoV, after 8 new cases were recorded. But she clarified the DOH was still “verifying” the latest figure.
“At gaya po ng ating napag-usapan at napagkasunduan namin [sa Inter-Agency Task Force (IATF)] na wala hong sasama sa repatriation na may sintomas (And just like what we discussed and agreed upon in the Inter-Agency Task Force, none of those who showed symptoms will be repatriated yet),” Vergeire said in a press conference on Friday afternoon.
The DOH official said the IATF handling the coronavirus scare is yet to finalize plans for these 52 Filipinos, but she promised they will “not be left behind.”
“Paguusapan po uli yan sa Inter-Agency Task Force. But as we have heard from the President [Rodrigo Duterte] and even our Secretary [Francisco Duque III], sinasabi lagi no Filipino o wala tayong kababayan na iiwanan. We will not be leaving them behind,” Vergeire said.
(The Inter-Agency Task Force will still have to talk about that. But as we have heard from the President Rodrigo Duterte and even our Secretary Francisco Duque III, they always say no Filipino will be left behind.)
She said that because the 52 cases tested positive for COVID-19 – the disease caused by 2019-nCoV – on different days, there would be separate individual arrangements for their logistical needs. These include different days of stay in the hospital, of discharge, and trips back to the Philippines as well.
About 460 to 480 Filipino passengers and crew members of Diamond Princess are set to be repatriated on Sunday from Yokohama, Japan to New Clark City in Capas, Tarlac, the Philippine government’s designated quarantine facility for COVID-19.
The IATF agreed that the DOH and the Magsaysay Maritime Corporation, the employer of the Filipino crew members, will both primarily shoulder the expenses for the repatriation process.
The DOH will be deploying health personnel to watch over the quarantined Filipinos and will also pay for the costs of their transportation to New Clark City as well as the on-site medical needs of the repatriates, hospitalization expenses through Philhealth, and personal protective equipment (PPE) for the first 5 days of the quarantine period.
The Magsaysay Maritime Corporation, meanwhile, will bear the cost of all transportation expenses of the repatriates from Japan until the completion of the quarantine period, PPE for the remaining period of the quarantine, as well as, food, lodging, personal hygiene kits and disinfectants, waste disposal services, and other incidental expenses of the repatriated crew.
The Department of Transportation will be tasked to bring the repatriates from Haribon Airport in Pampanga to New Clark City in Tarlac. The Overseas Workers Welfare Administration will provide livelihood packages to the repatriates and also pay for their transportation from Manila to their respective destinations after the quarantine period.
Vergeire said the hundreds of repatriates from Diamond Princess are currently being checked for possible COVID-19 symptoms.
Medical teams from the DOH will also test them before they leave the cruise ship and right after they disembark from the two planes that will take them back to the Philippines. 
Just like the 30 overseas Filipino workers repatriated from Wuhan, China – the epicenter of the COVID-19 outbreak – the second batch of quarantined Filipinos would be subjected to twice-a-day monitoring during their 14-day quarantine at New Clark City.
As of Friday, the DOH has probed 597 patients in the Philippines for possible COVID-19 infection. Of this number, 139 patients are still admitted in various health facilities nationwide, while 455 have already been discharged.
The Philippines has, so far, recorded 3 confirmed cases of COVID-19. One of them died, but the other two recovered and have since been discharged from the hospital.
In mainland China, the new disease has killed 2,235 people and infected a total of 75,466 as of 3:45 pm on Friday. – Rappler.com "
20,,"
Published 6:00 PM, February 21, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 21, 2020",Rappler.com,"
PREPARED. The Quezon City Disaster Risk Reduction and Management Office demonstrates to first responders how to use a protective gear properly. File photo by Darren Langit/Rappler   
MANILA, Philippines – The Department of Health (DOH) continues to place patients under investigation for possible cases of the novel coronavirus (2019-nCoV).
As of Friday, February 21, DOH said it has probed 597 patients. There is still no recorded case of local transmission in the country.
Out of this number:

139 - admitted to hospitals
455- discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the name of the disease caused by the new virus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of patients under investigation per region. All numbers are from the DOH's nCoV tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
11


Cagayan Valley 
35


Cordillera Administrative Region
27


Central Luzon
60


Metro Manila
201


Calabarzon
78


Mimaropa
15


Bicol
9


Western Visayas
38


Central Visayas
60


Eastern Visayas
17


Northern Mindanao
17


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 53 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates, one in Hong Kong, and 51 who were aboard a cruise ship quarantined in Japan. 
The World Health Organization has already declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 2,339 and infected over 75,467 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
21,,"
Published 4:58 PM, February 21, 2020                                    ",nCov,Filipino repatriates from Wuhan going home after showing no COVID-19 symptoms,Mara Cepeda,"
QUARANTINE ENDING. DOH Assistant Secretary Maria Rosario Vergeire gives updates on the status of the novel coronavirus in the Philippines on February 21, 2020. Photo by Mara Cepeda/Rappler 
MANILA, Philippines – The first batch of 49 Filipinos quarantined in New Clark City will now be allowed to go home after showing no signs and symptoms of the novel coronavirus (2019-nCoV). 
In a press conference on Friday, February 21, Department of Health (DOH) Assistant Secretary Maria Rosario Vergeire said they will be holding a send-off ceremony for the 49 Filipinos on Saturday, February 22, the last day of their 14-day mandatory quarantine.
New Clark City in Capas, Tarlac was designated as the country's quarantine facility to contain the spread of the novel coronavirus. The site was first used in December last year as the Athlete's Village of the Southeast Asian Games.
“On February 22, DOH is set to conduct a send-off ceremony for the 30 repatriates and 19 crew members [and members of the repatriation team] at the New Clark City quarantine facility, which marks their completion of the required 14-day quarantine,” Vergeire said.
“All the quarantined individuals have not shown signs and symptoms of fever, cough or sore throat during their 14-day stay. They will now be allowed to go back to their respective homes and places,” the DOH official added.  
Of the 49 repatriates, 30 are overseas Filipino workers who were based in the province of Hubei in China, where COVID-19 – the disease caused by 2019-nCoV – has killed 2,235 people and infected a total of 75,466 as of 3:45 pm on Friday.  
The rest of the Filipinos quarantined in New Clark City include government personnel who were part of the repatriation team, 6 flight crew members, and 3 ground crew operators. (READ: DOLE to assist OFWs repatriated due to novel coronavirus crisis)
“We are glad that our repatriates are all well and safe from COVID-19. Our repatriation mission is not possible without the dedication and cooperation of the entire Inter-agency Task Force for Emerging Infectious Diseases with all its member agencies. We are extremely grateful for the collective effort of the government,” Vergeire said.
This now means New Clark City will have been completely vacated and ready for occupancy by the time the 460 to 480 Filipinos who were quarantined for days inside the Japanese cruise ship M/V Diamond Princess will fly back to the Philippines on Sunday, February 23. 
Vergeire’s updated figure on the second batch of repatriates from Diamond Princess is about 20 to 40 people fewer than Health Secretary Francisco Duque III’s earlier estimate of “around 500.” 
At least 44 Filipino passengers and crew members of Diamond Princess have tested positive for COVID-19, though one case has already recovered from the disease and is the first Filipino to do so.  
Vergeire said the 43 Filipinos who are still COVID-19-positive will not be allowed to go back to the Philippines. 
As of Friday, the DOH has probed 597 patients in the Philippines for possible COVID-19 infection. Of this number, 139 patients are still admitted in various health facilities nationwide, while 455 have already been discharged.  
The Philippines has so far recorded 3 confirmed cases of COVID-19. One of them died, but the other two recovered and have since been discharged from the hospital. – Rappler.com "
22,,"
Published 8:47 PM, February 20, 2020                                    ",nCov,3 more Filipinos in Japan cruise ship infected with novel coronavirus – DFA,Mara Cepeda,"
ADDITIONAL CASES. People wearing protective suits walk from the Diamond Princess cruise ship at the Daikoku Pier Cruise Terminal in Yokohama port on February 10, 2020. File photo by Charly Triballeu/AFP 
MANILA, Philippines – The Department of Foreign Affairs (DFA) confirmed that 3 more Filipinos who were onboard the Japanese cruise ship M/V Diamond Princess were infected with the novel coronavirus.
""Yes, 41 plus 3 new cases. Minus one who has recovered,"" the DFA said in a statement on Thursday, February 20, when asked to confirm if there are additional Filipino cruise passengers who tested positive for the novel coronavirus.
This means there are now 44 Filipinos who got infected with the novel coronavirus after being onboard the Diamond Princess, which had been quarantined in the port of Yokohama, Japan. 
One of the 44, who was the first Filipino reported to have contracted the novel coronavirus, has already recovered from COVID-19, the disease caused by the novel coronavirus. 
Some 500 Filipino passengers of Diamond Princess are set to be repatriated back to the country on Sunday, February 23. 
Health Secretary Francisco Duque III said all of them will be brought to New Clark City in Tarlac to be quarantined for another 14 days. 
Medical personnel from 16 government hospitals across Luzon will be deployed to help oversee the health status of the repatriates during the quarantine period.
As of Thursday, the DOH has yet to report any case of local transmission of COVID-19, although the Philippines has recorded 3 confirmed cases of the new disease. One of them died, while the other two recovered.  
The Philippines has a total of 556 patients under investigtion for the novel coronavirus as of this posting.
Globally, the virus has killed 2,130 and sickened over 75,000, most of them from mainland China. The World Health Organization has already declared the epidemic a global emergency. – Rappler.com  "
23,,"
Published 7:10 PM, February 20, 2020                                    ",nCov,Around 500 Filipinos on Japan cruise ship to come home on February 23,Mara Cepeda,"
GOING HOME. A passenger (L) disembarks from the 'Diamond Princess' cruise ship after being quarantined due to the novel coronavirus. File photo by Charly Triballeau/AFP  
MANILA, Philippines – Around 500 Filipinos who were quarantined onboard the Diamond Princess cruise ship in Japan due to the novel coronavirus (2019-nCoV) are set to be repatriated to the Philippines on Sunday, February 23. 
In a press conference on Thursday, February 20, Health Secretary Francisco Duque III said the repatriation was originally set for Tuesday, February 25, but the Department of Foreign Affairs (DFA) adjusted the date after the Japanese government announced it will be closing down the cruise ship.
""The [original] date [was] February 25, [but] it will be advanced to February 23. That's on a Sunday. The exact time is being determined by DFA as they are coordinating the repatriation of not 400 but 500 Filipinos with their counterpart in Japan and with the Ministry of Health, [Labor, and Welfare],"" Duque said.  
Two planes, with a 2- to 3-hour interval between their arrival times, will be flying the Filipinos from Japan to the Clark Air Base on Sunday. From there, the repatriates will be brought to the Athletes' Village in New Clark City in Tarlac, where they will have to undergo another 14-day quarantine period.  
Once the repatriates arrive in New Clark City, at least 549 Filipinos will be quarantined there to be monitored for possible cases of COVID-19, the disease caused by 2019-nCoV.
The first batch of quarantined Filipinos used to work in the Chinese province of Hubei, the epicenter of the outbreak, which has so far killed 2,118 people and infected 74,500 across China.
Duque said the Department of Heath (DOH) will be implementing a 1:1 repatriate-to-room ratio during the quarantine. But passengers with family members will be asked to stay in one room.
The DOH will also be deploying health personnel from 16 government-run hospitals across Luzon to do shifts in New Clark City and watch over the health of the quarantined Filipinos.
Among those to be quarantined are at least 41 Filipinos who were aboard the cruise ship and later tested positive for COVID-19.
Duque said the first infected Filipino to recover from the disease – a crew member of Diamond Princess – will still be subjected to the 14-day quarantine in New Clark City.  
""Oh yes, ika-quarantine din 'yan (Oh yes, he has to be quarantined). Because number one, we don't know much of the virus. We don't know if there's going to be immunity or if there's going to be re-infection,"" Duque said. 
As of Thursday, the DOH has yet to report any case of local transmission of COVID-19, although the Philippines has recorded 3 confirmed cases of the new disease. One of them died, but the other two recovered. – Rappler.com "
